pkg_name,apkfile_name,apkfile_name_new,extract_manifest,manifest_permission,app_group,app_group_reason
app.groupcal.www,app.groupcal.www,app.groupcal.www,,"android.permission.READ_CONTACTS
android.permission.WRITE_CALENDAR
android.permission.READ_CALENDAR
android.permission.READ_SYNC_SETTINGS
android.permission.READ_SYNC_STATS
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.READ_EXTERNAL_STORAGE
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.USE_EXACT_ALARM
android.permission.FOREGROUND_SERVICE
android.permission.VIBRATE
android.permission.SCHEDULE_EXACT_ALARM
android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_FINE_LOCATION
android.permission.POST_NOTIFICATIONS
com.android.vending.BILLING
android.permission.WAKE_LOCK
com.google.android.c2dm.permission.RECEIVE
android.permission.USE_FINGERPRINT
android.permission.ACCESS_WIFI_STATE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
android.permission.REORDER_TASKS
app.groupcal.www.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION
com.sec.android.provider.badge.permission.READ
com.sec.android.provider.badge.permission.WRITE
com.htc.launcher.permission.READ_SETTINGS
com.htc.launcher.permission.UPDATE_SHORTCUT
com.sonyericsson.home.permission.BROADCAST_BADGE
com.sonymobile.home.permission.PROVIDER_INSERT_BADGE
com.anddoes.launcher.permission.UPDATE_COUNT
com.majeur.launcher.permission.UPDATE_BADGE
com.huawei.android.launcher.permission.CHANGE_BADGE
com.huawei.android.launcher.permission.READ_SETTINGS
com.huawei.android.launcher.permission.WRITE_SETTINGS
android.permission.READ_APP_BADGE
com.oppo.launcher.permission.READ_SETTINGS
com.oppo.launcher.permission.WRITE_SETTINGS
me.everything.badger.permission.BADGE_COUNT_READ
me.everything.badger.permission.BADGE_COUNT_WRITE",,
apps.r.compass,apps.r.compass,apps.r.compass,,"android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_FINE_LOCATION
android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.VIBRATE
com.google.android.gms.permission.AD_ID
android.permission.WAKE_LOCK
android.permission.ACCESS_WIFI_STATE
android.permission.POST_NOTIFICATIONS
com.google.android.c2dm.permission.RECEIVE
com.applovin.array.apphub.permission.BIND_APPHUB_SERVICE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
com.android.vending.BILLING
android.permission.FOREGROUND_SERVICE
apps.r.compass.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION",,
ch.publisheria.bring,ch.publisheria.bring,ch.publisheria.bring,,"android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_WIFI_STATE
android.permission.WAKE_LOCK
android.permission.READ_CONTACTS
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_MEDIA_IMAGES
android.permission.VIBRATE
android.permission.RECEIVE_BOOT_COMPLETED
com.google.android.gms.permission.AD_ID
android.permission.POST_NOTIFICATIONS
android.permission.ACCESS_FINE_LOCATION
android.permission.ACCESS_COARSE_LOCATION
android.permission.CAMERA
android.permission.FOREGROUND_SERVICE
com.google.android.c2dm.permission.RECEIVE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
ch.publisheria.bring.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION
com.android.vending.BILLING",,
com.albuquerquedesign.adanalog013,com.albuquerquedesign.adanalog013,com.albuquerquedesign.adanalog013,,com.albuquerquedesign.adanalog013.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,,
com.anghami,com.anghami,com.anghami,,"android.permission.FOREGROUND_SERVICE
android.permission.BLUETOOTH
android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_WIFI_STATE
android.permission.READ_EXTERNAL_STORAGE
android.permission.CAMERA
com.android.vending.BILLING
android.permission.WAKE_LOCK
android.permission.READ_CONTACTS
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.VIBRATE
android.permission.ACTIVITY_RECOGNITION
android.permission.RECORD_AUDIO
android.permission.MODIFY_AUDIO_SETTINGS
android.permission.CHANGE_WIFI_MULTICAST_STATE
android.permission.BLUETOOTH_ADMIN
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_PHONE_STATE
com.google.android.c2dm.permission.RECEIVE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
android.permission.REQUEST_INSTALL_PACKAGES",,
com.audible.application,com.audible.application,com.audible.application,,"com.audible.application.permission.C2D_MESSAGE
com.google.android.gms.permission.AD_ID
android.permission.POST_NOTIFICATIONS
android.permission.RECORD_AUDIO
com.audible.application.externalmediaplayer.permission.WAKE_UP
android.permission.BLUETOOTH_CONNECT
com.amazon.identity.permission.CALL_AMAZON_DEVICE_INFORMATION_PROVIDER
android.permission.INTERNET
android.permission.WAKE_LOCK
android.permission.BLUETOOTH
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.ACCESS_NETWORK_STATE
android.permission.FOREGROUND_SERVICE
android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_EXTERNAL_STORAGE
android.permission.ACCESS_WIFI_STATE
android.permission.READ_BASIC_PHONE_STATE
android.permission.READ_PHONE_STATE
amazon.permission.COLLECT_METRICS
android.permission.CHANGE_WIFI_MULTICAST_STATE
android.permission.CHANGE_WIFI_STATE
com.amazon.kindle.cms.CMS_ACCESS
android.permission.MODIFY_AUDIO_SETTINGS
com.amazon.alexa.externalmediaplayer.permission.WAKE_UP
com.google.android.c2dm.permission.RECEIVE
com.audible.application.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION
com.android.vending.BILLING
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
com.amazon.dcp.metrics.permission.METRICS_PERMISSION
com.amazon.dcp.config.permission.DYN_CONFIG_VALUES_UPDATED
com.amazon.identity.auth.device.perm.AUTH_SDK
com.amazon.dcp.sso.permission.USE_DEVICE_CREDENTIALS
com.amazon.dcp.sso.permission.account.changed
com.amazon.dcp.sso.permission.MANAGE_COR_PFM
com.amazon.dcp.sso.permission.CUSTOMER_ATTRIBUTE_SERVICE
com.amazon.dcp.sso.permission.AmazonAccountPropertyService.property.changed
com.amazon.appmanager.preload.permission.READ_PRELOAD_DEVICE_INFO_PROVIDER
com.amazon.alexa.handsfree.protocols.permission.DATA_SYNC",,
com.c25k,com.c25k,com.c25k,,"android.permission.INTERNET
android.permission.VIBRATE
android.permission.WAKE_LOCK
android.permission.ACCESS_FINE_LOCATION
android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_BACKGROUND_LOCATION
android.permission.ACCESS_WIFI_STATE
android.permission.CHANGE_WIFI_STATE
com.google.android.gms.permission.ACTIVITY_RECOGNITION
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.BLUETOOTH
android.permission.BLUETOOTH_ADMIN
android.permission.BLUETOOTH_CONNECT
android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_WIFI_STATE
android.permission.POST_NOTIFICATIONS
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_EXTERNAL_STORAGE
android.permission.HIGH_SAMPLING_RATE_SENSORS
android.permission.SCHEDULE_EXACT_ALARM
android.permission.CAMERA
android.permission.STORAGE
android.permission.FOREGROUND_SERVICE
android.permission.FOREGROUND_SERVICE_LOCATION
android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK
com.sec.android.provider.badge.permission.READ
com.sec.android.provider.badge.permission.WRITE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
com.google.android.gms.permission.AD_ID
com.android.vending.BILLING
com.google.android.providers.gsf.permission.READ_GSERVICES
com.google.android.c2dm.permission.RECEIVE
android.permission.ACCESS_ADSERVICES_AD_ID
android.permission.ACCESS_ADSERVICES_ATTRIBUTION
android.permission.ACCESS_ADSERVICES_TOPICS
com.c25k.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION
android.permission.READ_PRIVILEGED_PHONE_STATE",,
com.cardiogram.v1,com.cardiogram.v1,com.cardiogram.v1,,"android.permission.RECEIVE_BOOT_COMPLETED
android.permission.USE_CREDENTIALS
android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_WIFI_STATE
com.google.android.gms.permission.AD_ID
android.permission.WAKE_LOCK
android.permission.VIBRATE
com.google.android.c2dm.permission.RECEIVE
android.permission.WAKE_LOCK
com.android.vending.BILLING
android.permission.ACCESS_FINE_LOCATION
android.permission.ACTIVITY_RECOGNITION
com.google.android.gms.permission.ACTIVITY_RECOGNITION
android.permission.CAMERA
android.permission.READ_MEDIA_IMAGES
android.permission.READ_MEDIA_VIDEO
android.permission.READ_EXTERNAL_STORAGE
android.permission.WRITE_EXTERNAL_STORAGE
com.cardiogram.v1.permission.C2D_MESSAGE
android.permission.POST_NOTIFICATIONS
android.permission.MANAGE_ACCOUNTS
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
android.permission.FOREGROUND_SERVICE",,
com.centr.app,com.centr.app,com.centr.app,,"android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_WIFI_STATE
android.permission.FOREGROUND_SERVICE
android.permission.VIBRATE
com.google.android.gms.permission.AD_ID
com.android.vending.BILLING
android.permission.READ_EXTERNAL_STORAGE
android.permission.WAKE_LOCK
com.google.android.c2dm.permission.RECEIVE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE",,
com.codverter.wearflashlight,com.codverter.wearflashlight,com.codverter.wearflashlight,,"android.permission.BLUETOOTH
android.permission.VIBRATE
android.permission.CAMERA
android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
com.google.android.gms.permission.AD_ID
android.permission.ACCESS_ADSERVICES_AD_ID
android.permission.ACCESS_ADSERVICES_ATTRIBUTION
android.permission.ACCESS_ADSERVICES_TOPICS
android.permission.WAKE_LOCK
android.permission.FOREGROUND_SERVICE
com.codverter.wearflashlight.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION",,
com.contorra.golfpad,com.contorra.golfpad,com.contorra.golfpad,,"android.permission.BLUETOOTH
android.permission.BLUETOOTH_ADMIN
android.permission.BLUETOOTH_CONNECT
android.permission.BLUETOOTH_SCAN
android.permission.NFC
android.permission.SYSTEM_ALERT_WINDOW
android.permission.VIBRATE
android.permission.INTERNET
android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_FINE_LOCATION
android.permission.ACCESS_BACKGROUND_LOCATION
android.permission.VIBRATE
android.permission.WAKE_LOCK
android.permission.ACCESS_NETWORK_STATE
android.permission.GET_ACCOUNTS
android.permission.USE_CREDENTIALS
com.google.android.providers.gsf.permission.READ_GSERVICES
com.google.android.c2dm.permission.RECEIVE
com.contorra.golfpad.permission.C2D_MESSAGE
android.permission.USE_FINGERPRINT
android.permission.FOREGROUND_SERVICE
android.permission.FOREGROUND_SERVICE_LOCATION
android.permission.FOREGROUND_SERVICE_CONNECTED_DEVICE
com.samsung.accessory.permission.ACCESSORY_FRAMEWORK
com.samsung.WATCH_APP_TYPE.Companion
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY
android.permission.CAMERA
android.permission.POST_NOTIFICATIONS
com.google.android.gms.permission.AD_ID
android.permission.ACCESS_ADSERVICES_AD_ID
android.permission.ACCESS_ADSERVICES_ATTRIBUTION
android.permission.ACCESS_ADSERVICES_TOPICS
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
com.contorra.golfpad.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION
com.android.vending.BILLING
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_EXTERNAL_STORAGE",,
com.customsolutions.android.alexa,com.customsolutions.android.alexa,com.customsolutions.android.alexa,,"android.permission.RECORD_AUDIO
android.permission.SYSTEM_ALERT_WINDOW
android.permission.SCHEDULE_EXACT_ALARM
android.permission.POST_NOTIFICATIONS
com.google.android.gms.permission.AD_ID
android.permission.INTERNET
android.permission.MODIFY_AUDIO_SETTINGS
android.permission.WAKE_LOCK
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.DISABLE_KEYGUARD
android.permission.VIBRATE
android.permission.READ_PHONE_STATE
android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_WIFI_STATE
android.permission.FOREGROUND_SERVICE
android.permission.HIGH_SAMPLING_RATE_SENSORS
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
com.customsolutions.android.alexa.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION
com.android.vending.BILLING",,
com.dungelin.heartrate,com.dungelin.heartrate,com.dungelin.heartrate,,"android.permission.health.READ_HEART_RATE
android.permission.health.WRITE_HEART_RATE
android.permission.CAMERA
android.permission.FLASHLIGHT
android.permission.WAKE_LOCK
android.permission.VIBRATE
android.permission.ACCESS_WIFI_STATE
android.permission.ACCESS_NETWORK_STATE
android.permission.INTERNET
com.android.vending.BILLING
com.samsung.android.iap.permission.BILLING
android.permission.BODY_SENSORS
com.samsung.permission.SSENSOR_HRM_RAW_PPG
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.FOREGROUND_SERVICE
android.permission.POST_NOTIFICATIONS
com.google.android.gms.permission.AD_ID
android.permission.ACCESS_ADSERVICES_AD_ID
android.permission.ACCESS_ADSERVICES_ATTRIBUTION
android.permission.ACCESS_ADSERVICES_TOPICS
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
com.dungelin.heartrate.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION",,
com.exovoid.weather.app,com.exovoid.weather.app,com.exovoid.weather.app,,"android.permission.SCHEDULE_EXACT_ALARM
com.android.alarm.permission.SET_ALARM
android.permission.POST_NOTIFICATIONS
com.google.android.gms.permission.AD_ID
android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_BACKGROUND_LOCATION
com.google.android.providers.gsf.permission.READ_GSERVICES
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.ACCESS_FINE_LOCATION
android.permission.WAKE_LOCK
android.permission.ACCESS_ADSERVICES_ATTRIBUTION
android.permission.ACCESS_ADSERVICES_AD_ID
com.android.vending.BILLING
android.permission.ACCESS_ADSERVICES_TOPICS
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
android.permission.FOREGROUND_SERVICE
com.exovoid.weather.app.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION
com.android.vending.CHECK_LICENSE",,
com.fish4fun.mycards,com.fish4fun.mycards,com.fish4fun.mycards,,"android.permission.CAMERA
android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_FINE_LOCATION
android.permission.ACCESS_WIFI_STATE
android.permission.WAKE_LOCK
com.google.android.c2dm.permission.RECEIVE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE",,
com.fitbod.fitbod,com.fitbod.fitbod,com.fitbod.fitbod,,"android.permission.INTERNET
android.permission.ACCESS_WIFI_STATE
android.permission.ACCESS_NETWORK_STATE
android.permission.POST_NOTIFICATIONS
android.permission.SCHEDULE_EXACT_ALARM
com.google.android.gms.permission.AD_ID
android.permission.health.READ_ACTIVE_CALORIES_BURNED
android.permission.health.READ_BASAL_METABOLIC_RATE
android.permission.health.READ_BODY_FAT
android.permission.health.READ_DISTANCE
android.permission.health.READ_ELEVATION_GAINED
android.permission.health.READ_EXERCISE
android.permission.health.READ_HEIGHT
android.permission.health.READ_LEAN_BODY_MASS
android.permission.health.READ_STEPS
android.permission.health.READ_TOTAL_CALORIES_BURNED
android.permission.health.READ_WEIGHT
android.permission.health.WRITE_ACTIVE_CALORIES_BURNED
android.permission.health.WRITE_BASAL_METABOLIC_RATE
android.permission.health.WRITE_BODY_FAT
android.permission.health.WRITE_DISTANCE
android.permission.health.WRITE_ELEVATION_GAINED
android.permission.health.WRITE_EXERCISE
android.permission.health.WRITE_HEIGHT
android.permission.health.WRITE_LEAN_BODY_MASS
android.permission.health.WRITE_STEPS
android.permission.health.WRITE_TOTAL_CALORIES_BURNED
android.permission.health.WRITE_WEIGHT
android.permission.WAKE_LOCK
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.FOREGROUND_SERVICE
com.android.vending.BILLING
com.google.android.c2dm.permission.RECEIVE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
android.permission.ACCESS_ADSERVICES_ATTRIBUTION
android.permission.ACCESS_ADSERVICES_AD_ID
com.fitbod.fitbod.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION",,
com.fitiv.fitivapplication,com.fitiv.fitivapplication,com.fitiv.fitivapplication,,"android.permission.RECEIVE_NOTIFICATIONS
android.permission.POST_NOTIFICATIONS
android.permission.BLUETOOTH_CONNECT
android.permission.BLUETOOTH_SCAN
android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.BLUETOOTH
android.permission.BLUETOOTH_ADMIN
android.permission.ACCESS_FINE_LOCATION
android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_BACKGROUND_LOCATION
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_EXTERNAL_STORAGE
android.permission.BODY_SENSORS
android.permission.FOREGROUND_SERVICE
android.permission.WAKE_LOCK
com.samsung.accessory.permission.ACCESSORY_FRAMEWORK
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY
com.samsung.WATCH_APP_TYPE.Companion
android.permission.ACTIVITY_RECOGNITION
com.google.android.gms.permission.ACTIVITY_RECOGNITION
com.samsung.wmanager.ENABLE_NOTIFICATION
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.ACTIVITY_RECOGNITION
android.permission.SCHEDULE_EXACT_ALARM
com.google.android.gms.permission.AD_ID
com.google.android.c2dm.permission.RECEIVE
android.permission.REORDER_TASKS
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
com.fitiv.fitivapplication.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION
com.android.vending.BILLING",,
com.fiton.android,com.fiton.android,com.fiton.android,,"android.permission.WRITE_EXTERNAL_STORAGE
android.permission.READ_EXTERNAL_STORAGE
android.permission.READ_CONTACTS
android.permission.MODIFY_AUDIO_SETTINGS
android.permission.CHANGE_WIFI_MULTICAST_STATE
android.permission.ACCESS_WIFI_STATE
android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.CAMERA
android.permission.BILLING
android.permission.FOREGROUND_SERVICE
android.permission.WAKE_LOCK
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
com.google.android.c2dm.permission.RECEIVE
com.android.vending.BILLING",,
com.flightradar24free,com.flightradar24free,com.flightradar24free,,"android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_COARSE_LOCATION
android.permission.ACCESS_FINE_LOCATION
android.permission.ACCESS_BACKGROUND_LOCATION
android.permission.CAMERA
android.permission.VIBRATE
android.permission.WAKE_LOCK
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.FOREGROUND_SERVICE
android.permission.ACCESS_WIFI_STATE
android.permission.CHANGE_WIFI_STATE
android.permission.POST_NOTIFICATIONS
android.permission.FOREGROUND_SERVICE_SPECIAL_USE
android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK
android.permission.WRITE_EXTERNAL_STORAGE
com.android.vending.BILLING
com.google.android.providers.gsf.permission.READ_GSERVICES
com.google.android.gms.permission.AD_ID
com.google.android.c2dm.permission.RECEIVE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
android.permission.ACCESS_ADSERVICES_ATTRIBUTION
android.permission.ACCESS_ADSERVICES_AD_ID
android.permission.ACCESS_ADSERVICES_TOPICS
com.flightradar24free.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION",,
com.fourtechnologies.mynetdiary.ad,com.fourtechnologies.mynetdiary.ad,com.fourtechnologies.mynetdiary.ad,,"android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.WRITE_EXTERNAL_STORAGE
android.permission.GET_ACCOUNTS
android.permission.WAKE_LOCK
android.permission.GET_PACKAGE_SIZE
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.USE_CREDENTIALS
android.permission.AUTHENTICATE_ACCOUNTS
android.permission.MANAGE_ACCOUNTS
android.permission.ACCESS_WIFI_STATE
android.permission.REQUEST_INSTALL_PACKAGES
android.permission.REQUEST_DELETE_PACKAGES
android.permission.MANAGE_EXTERNAL_STORAGE
android.permission.QUERY_ALL_PACKAGES
android.permission.UPDATE_PACKAGES_WITHOUT_USER_ACTION
android.permission.POST_NOTIFICATIONS
android.permission.ENFORCE_UPDATE_OWNERSHIP
android.permission.INSTALL_PACKAGES
android.permission.DELETE_PACKAGES
android.permission.ACCESS_SUPERUSER
android.permission.RECORD_AUDIO
com.google.android.c2dm.permission.RECEIVE
com.google.android.gms.permission.AD_ID
android.permission.ACCESS_ADSERVICES_ATTRIBUTION
android.permission.ACCESS_ADSERVICES_AD_ID
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
android.permission.FOREGROUND_SERVICE
com.uptodown.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION",,
com.fsoydan.howistheweather,com.fsoydan.howistheweather,com.fsoydan.howistheweather,,"android.permission.ACCESS_NETWORK_STATE
android.permission.ACCESS_FINE_LOCATION
android.permission.ACCESS_COARSE_LOCATION
android.permission.FOREGROUND_SERVICE
android.permission.FOREGROUND_SERVICE_LOCATION
android.permission.FOREGROUND_SERVICE_SPECIAL_USE
android.permission.INTERNET
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.SCHEDULE_EXACT_ALARM
android.permission.SET_WALLPAPER
android.permission.POST_NOTIFICATIONS
com.android.vending.BILLING
android.permission.WAKE_LOCK
com.google.android.gms.permission.AD_ID
android.permission.ACCESS_ADSERVICES_ATTRIBUTION
android.permission.ACCESS_ADSERVICES_AD_ID
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
com.fsoydan.howistheweather.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION",,
com.funnmedia.waterminder,com.funnmedia.waterminder,com.funnmedia.waterminder,,"android.permission.health.READ_HYDRATION
android.permission.health.WRITE_HYDRATION
com.google.android.gms.permission.AD_ID
android.permission.INTERNET
android.permission.RECEIVE_BOOT_COMPLETED
android.permission.SCHEDULE_EXACT_ALARM
com.android.vending.BILLING
android.permission.ACCESS_NETWORK_STATE
android.permission.WAKE_LOCK
android.permission.POST_NOTIFICATIONS
android.permission.VIBRATE
android.permission.ACCESS_ADSERVICES_ATTRIBUTION
android.permission.ACCESS_ADSERVICES_AD_ID
com.google.android.providers.gsf.permission.READ_GSERVICES
android.permission.ACCESS_ADSERVICES_TOPICS
android.permission.FOREGROUND_SERVICE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
com.funnmedia.waterminder.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION",,
com.furyapps.scoreswidget,com.furyapps.scoreswidget,com.furyapps.scoreswidget,,"android.permission.INTERNET
android.permission.ACCESS_NETWORK_STATE
android.permission.SCHEDULE_EXACT_ALARM
android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS
android.permission.QUERY_ALL_PACKAGES
android.permission.POST_NOTIFICATIONS
android.permission.WAKE_LOCK
com.google.android.c2dm.permission.RECEIVE
com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE
com.furyapps.scoreswidget.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION",,
com.GD.Minimal,com.GD.Minimal,com.GD.Minimal,,com.GD.Minimal.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,,
